Título,Empresa,Ubicación,Publicado en,Descripción,Enlace
Mobile Back-End Developer (Ruby on Rails),Launchpad Technologies Inc.,"Santiago, Chile",Indeed Chile,"Launchpad, a people-first technology company, is a leader in North America´s rapidly growing tech sector. Through two solutions, Launchpad supports its clients with digital transformation:
• PaasportTM, our iPaaS solution, streamlines software integration and automates workflows.
• Nearshore Staff Augmentation, our managed IT staffing service, connects top IT talent across various geographical regions, bringing industry expertise to leading clients.

Based in Vancouver, Canada, our operational footprint spans across North and South America, with a second headquarters in Santiago, Chile.

In 2023, our unwavering dedication to innovation garnered recognition as a Deloitte Technology Fast 50™ Program Company. Our clientele boasts industry leaders such as Walmart, GM, TIME Magazine, Salesforce, Tableau, Splunk, Bolt.com, Freedom House, and more.

At Launchpad, we genuinely care about our people as individuals. If you are looking for a team that values growth, drive, and passion for your craft, if you’re seeking a place to achieve your goals and dreams with fairness and integrity, then we’d love to hear from you.

We are seeking a skilled Mobile Back-End Developer to design and develop the back-end architecture supporting our mobile applications. The ideal candidate will be proficient in Ruby on Rails and Node.js, with strong expertise in RESTful API development and database management. You will play a key role in ensuring the performance, scalability, and security of our back-end systems while collaborating closely with front-end teams.

Responsibilities:
• Design, develop, and maintain back-end systems using Ruby on Rails and Node.js.
• Build and optimize RESTful APIs to support seamless communication with mobile front-end applications.
• Manage and optimize database performance using PostgreSQL.
• Collaborate with front-end developers to integrate back-end logic with mobile front-end frameworks like React.
• Ensure code quality through testing and debugging practices.
• Implement security best practices to protect data and maintain compliance.
• Contribute to DevOps practices, including CI/CD pipelines (optional).
• Monitor and improve the performance of back-end systems.
• Stay up-to-date with the latest technologies and best practices in back-end development.

Requirements:
• 5+ years of experience in back-end development.
• Expertise in Ruby on Rails, Node.js, and RESTful API development.
• Proficiency in PostgreSQL for database management.
• Familiarity with integrating back-end services with front-end frameworks like React.
• Strong problem-solving and debugging skills.
• Knowledge of security best practices and performance optimization.
• Excellent collaboration and communication skills.

Nice to Have:
• Experience with MongoDB or Python.
• Exposure to DevOps practices, including CI/CD pipelines.
• Familiarity with cloud platforms like AWS or Azure.

Why work for Launchpad?
• 100% remote
• People first culture
• Excellent compensation in US Dollars
• Hardware setup for working from home
• Work with global teams and prominent brands based in North America, Europe, and Asia
• Training allowances
• Personal time off (PTO) for vacations, study leave, personal time, etc.
• ...and more!

At Launchpad, we genuinely care about our people as individuals. If you are looking for a team that values growth, drive, and passion for your craft, if you’re seeking a place to achieve your goals and dreams with fairness and integrity, then you are the future of Launchpad. Launchpad is committed to fostering a diverse and representative workforce and an inclusive work environment where all employees are respected and treated equally.

Are you ready to elevate your career at Launchpad? We want to hear your story! Contact us today.",No disponible
💎 Ruby on Rails Developer | Remote 🌎,GoGrow,Anywhere,Jobgether,"This a Full Remote job, the offer is available from: Uruguay, Brazil, Colombia, Argentina, Chile, Peru

Are you a Ruby on Rails Developer with a passion for tackling challenging projects in the heart of the tech industry? GoGrow is on the lookout for an experienced professional to join our dynamic team and contribute to cutting-edge USA-based projects.

Key Requirements:
• +3 Years of Ruby on Rails Experience: We're seeking individuals with a strong foundation in Ruby on Rails, backed by at least three years of hands-on experience. Your expertise will be pivotal in driving the success of our projects.
• Advanced English Proficiency: Effective communication is key, and we value advanced English skills to ensure seamless collaboration with our diverse, international team and clients.

What We Offer:
• 🌎 Remote Work and Flexible Schedule: Achieve work-life balance with remote options and flexible schedules.
• 💰 Competitive USD Salary: Your skills are valued with a competitive salary tailored to your expertise.

This offer from ""GoGrow"" has been enriched by Jobgether.com and got a 75% flex score.",No disponible
Mobile Full-Stack Developer (Ruby on Rails + React Native),Launchpad Technologies Inc.,"Santiago, Chile",Indeed Chile,"Launchpad, a people-first technology company, is a leader in North America´s rapidly growing tech sector. Through two solutions, Launchpad supports its clients with digital transformation:
• PaasportTM, our iPaaS solution, streamlines software integration and automates workflows.
• Nearshore Staff Augmentation, our managed IT staffing service, connects top IT talent across various geographical regions, bringing industry expertise to leading clients.

Based in Vancouver, Canada, our operational footprint spans across North and South America, with a second headquarters in Santiago, Chile.

In 2023, our unwavering dedication to innovation garnered recognition as a Deloitte Technology Fast 50™ Program Company. Our clientele boasts industry leaders such as Walmart, GM, TIME Magazine, Salesforce, Tableau, Splunk, Bolt.com, Freedom House, and more.

At Launchpad, we genuinely care about our people as individuals. If you are looking for a team that values growth, drive, and passion for your craft, if you’re seeking a place to achieve your goals and dreams with fairness and integrity, then we’d love to hear from you.

We are looking for an experienced Mobile Full-Stack Developer to lead the development of robust, scalable mobile applications. The ideal candidate will be proficient in both front-end and back-end development, leveraging tools like React Native, Ruby on Rails, and Node.js. This role demands expertise in API development, database management, and integrating mobile frameworks, with a focus on performance, security, and collaboration.

Responsibilities:
• Design and develop mobile applications using React Native for cross-platform compatibility.
• Build dynamic user interfaces using React and ensure seamless integration with back-end systems.
• Develop and maintain back-end services with Ruby on Rails or Node.js.
• Create, test, and document RESTful APIs for efficient communication between front-end and back-end systems.
• Manage database systems with PostgreSQL, with exposure to MongoDB as needed.
• Collaborate with DevOps teams to implement CI/CD pipelines for streamlined deployments.
• Optimize code for performance, scalability, and security.
• Implement debugging and testing practices to ensure high-quality deliverables.
• Work closely with cross-functional teams to align technical solutions with business needs.
• Stay up-to-date with emerging technologies and best practices in full-stack development.

Requirements:
• 5+ years of experience in full-stack development, including mobile frameworks like React Native.
• Expertise in React, Ruby on Rails, and/or Node.js for full-stack application development.
• Proficiency in RESTful API design and implementation.
• Strong knowledge of PostgreSQL, with familiarity in MongoDB and Python being a plus.
• Experience with Git for version control and DevOps practices like CI/CD pipelines.
• Strong problem-solving and debugging skills.
• Deep understanding of security best practices and performance optimization.
• Excellent collaboration, communication, and attention to detail.

Why work for Launchpad?
• 100% remote
• People first culture
• Excellent compensation in US Dollars
• Hardware setup for working from home
• Work with global teams and prominent brands based in North America, Europe, and Asia
• Training allowances
• Personal time off (PTO) for vacations, study leave, personal time, etc.
• ...and more!

At Launchpad, we genuinely care about our people as individuals. If you are looking for a team that values growth, drive, and passion for your craft, if you’re seeking a place to achieve your goals and dreams with fairness and integrity, then you are the future of Launchpad. Launchpad is committed to fostering a diverse and representative workforce and an inclusive work environment where all employees are respected and treated equally.

Are you ready to elevate your career at Launchpad? We want to hear your story! Contact us today.",No disponible
Full Stack Ember/Ruby on Rails Developer,FullStack Labs,Anywhere,OmniJobs,"FullStack is the fastest-growing software consultancy in the Americas. We help organizations like Uber, GoDaddy, MGM, Siemens, and Stanford University build distributed software development teams, and deliver transformational digital solutions. As an employee-first company, we focus on hiring the most talented software designers and developers in the western hemisphere, by creating a positive, respectful, and supportive work environment where they can achieve their greatest potential.

We’re most proud of:

\*Offering life-changing career opportunities to talented software professionals across the Americas.

\*Building highly-skilled software development teams for hundreds of the world’s greatest companies.

\*Having delivered hundreds of successful custom software solutions, which have positively impacted the lives and careers of millions of users.

\*Our 4.5-star rating on GlassDoor.

\*Our client Net Promoter Score of 68, twice the industry average.

### The Position:

We're looking to hire a Full Stack Developer to join our team. You'll work with our incredible clients in one of two ways:
• _Team Augmentation:_ You will integrate yourself directly into our client's team and work alongside their existing designers and engineers on a daily basis.
• _Design & Build:_ You will work on a FullStack product team to build and deliver a product to our clients.

### What We're Looking For:
• 3+ years of professional software development experience.
• Advanced English is required.
• Meaningful experience with Ember.
• Meaningful experience with Ruby on Rails.
• Experience working on Agile/Scrum teams.
• Successful completion of a four-year college degree is required.
• Ability to take extreme ownership over your work. Every day is a challenge to ensure you are performing to the expectations you and your team have agreed upon.
• Ability to identify with the goals of FullStack's clients, and dedicate yourself to delivering on the commitments you and your team make to them.
• Ability to consistently work 40 hours per week.

### What We Offer:
• Competitive pay in your local currency.
• 100% remote work.
• The ability to work with leading startups and Fortune 500 companies.
• English Classes.
• Virtual company events each month.
• Ample opportunity for career advancement.
• Continuing education opportunities.
• Depending on your location other benefits may apply.

FullStack is proud to be an equal opportunity workplace. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity, or Veteran status. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form, which can be provided upon request during our hiring and interview process.

Learn more about our [Applicants Privacy Notice](https://www.fullstacklabs.co/applicants-privacy-notice).

[Apply for this job](https://jobs.lever.co/fullstacklabs/36f62e61-7c87-428d-b105-fd4fe32bf737/apply)",No disponible
💎 Ruby on Rails Developer | Remote 🌎,GoGrow,Anywhere,GoGrow,"Are you a Ruby on Rails Developer with a passion for tackling challenging projects in the heart of the tech industry? GoGrow is on the lookout for an experienced professional to join our dynamic team and contribute to cutting-edge USA-based projects.

Key Requirements:
• +3 Years of Ruby on Rails Experience: We're seeking individuals with a strong foundation in Ruby on Rails, backed by at least three years of hands-on experience. Your expertise will be pivotal in driving the success of our projects.
• Advanced English Proficiency: Effective communication is key, and we value advanced English skills to ensure seamless collaboration with our diverse, international team and clients.

What We Offer:
• 🌎 Remote Work and Flexible Schedule: Achieve work-life balance with remote options and flexible schedules.
• 💰 Competitive USD Salary: Your skills are valued with a competitive salary tailored to your expertise.",No disponible
Ruby on Rails Developer at Austin Software,Howdy.com,Anywhere,Jobgether,"This a Full Remote job, the offer is available from: Uruguay, Colombia, Argentina, Chile, Mexico

We're Not A Software Factory; In fact We're the Anti-Factory

Traditional software factories have reverse incentives and developers suffer the consequences: work extra for less rewards. We work in a better way. Our business model is aligned with you: as you get paid more, we get paid more.

We work only as core members of product teams in the US and you get more growth opportunities: our team mates lead teams at US partners, apply for management with partners, help pitch investors with partners and lead at Howdy itself. Also, no intermediaries between you and US partners: work directly with their engineering teams.

If you're tired of the traditional software model, and if you consider yourself the best among your peer, apply to join us!

Ruby on Rails Developer

Desired skills:
• 7+ years of experience as a developer
• 5+ years of Ruby on Rails experience

Plus experience:
• Experience with React
• Experience with .NET
• Experience with Bootstrap
• Experience with Tailwind

Who You Are:
• You are a motivated and self-directed engineer who wants to deliver real business value
• You help your team and peers align to the company vision and mission
• You consistently leave code and projects better than you found them

Some benefits:
• 🏢 Offices in some cities
• 🖥️ 100% remote work
• ⌚ Full-time schedule, flexible according to objectives
• 🏖️PTO & holidays
• ⚕️Medical insurance

This offer from ""Howdy.com"" has been enriched by Jobgether.com and got a 75% flex score.",No disponible
Fullstack Developer (Ruby on Rails + JavaScript),Applaudo,"Santiago, Chile",Jooble,"You are someone who wants to influence your own development. You’re looking for a company where you have the opportunity to pursue your interests and be able to grow professionally.

You bring to Applaudo the following competencies:
• 5+ years of experience with Ruby on Rails .
• Proven experience with GraphQL , building and maintaining scalable APIs.
• Good understanding of the syntax of Ruby and its nuances.
• Solid understanding of object-oriented programming.
• Skills for writing reusable Ruby libraries that may be used in expressive ways.
• Familiarity with concepts of MVC, Mocking, ORM, and RESTful.
• Experience with popular web application frameworks ( Rails ).
• Understanding of fundamental design principles behind a scalable application.
• Able to create database schemas that represent and support business processes.
• Experience with CSS, HTML, and Tailwind.
• Experience with SQL Server.
• Highly attentive to details, curious, and communicative.

You will be accountable for the following responsibilities:
• Design, build, and maintain efficient, reusable, and reliable systems.
• Ensure the best possible performance, quality, security, and responsiveness of the applications.
• Identify bottlenecks and bugs, and devise solutions to these problems.
• Help maintain code quality, organization, and automation.
• Build, install, and share gems and plugins.

Qualifications

Additional Information

Here at Applaudo Studios, values such as trust, communication, respect, excellence, and teamwork are our keys to success. We know we are working with the best and thus treat each other with respect and admiration without asking.

Submit your application today, and don't miss this opportunity to join the Best Digital team in the Region!

Some of our perks and benefits:
• Work from home
• Celebrations
• Entertainment area
• Great work environment
• Private medical insurance
• Benefits may vary according to your location and/or availability. Request further information when applying.
Seniority level

Mid-Senior level
Employment type

Full-time
Job function

IT Services and IT Consulting
#J-18808-Ljbffr",No disponible
Full-Stack Junior (Rails React),TCIT,"Providencia, Chile",Get On Board,"Una de nuestras misiones en TCIT es descubrir y potenciar a los mejores talentos, por lo que te invitamos a ser parte de nuestro team!

Nuestro propósito es transformar digitalmente a distintas organizaciones a través de soluciones de calidad, sostenibles e innovadoras. Trabajamos con metodologías ágiles, utilizamos tecnologías de última generación y somos expertos en desarrollo de software en tecnologías Cloud.

Algunos de nuestros desarrollos son un sistema de gestión agrícola, un sistema de remates en línea, un sistema de gestión de las causas para los tribunales judiciales, un sistema para monitoreo de certificaciones para trabajadores mineros, un sistema de liquidaciones de sueldo y otras soluciones de gestión de empresas en ámbitos como transporte de carga y bodegaje, entre muchos otros.

Además, trabajamos en países como Canadá en ambiciosos proyectos con nuestros partners tecnológicos.

¡Súmate a la revolución digital TCIT!

¿Qué harás?
• Desarrollarás e implementarás plataformas, aplicaciones o funcionalidades tanto en front-end como back-end.
• Trabajarás en estrecha colaboración con el resto del equipo de desarrollo y también junto a los clientes involucrados.
• Participarás en el levantamiento de requerimientos para construir, probar y generar el producto, de acuerdo a tiempos y metas definidas de cada proyecto.
• Participarás de forma activa en el diseño y arquitectura de los sistemas, plataformas o aplicaciones de los proyectos.
• Apoyarás en la definición y revisión de vistas o interfaces de usuario.
• Estarás pendiente siempre de la mejora continua de los distintos sistemas, plataformas y aplicaciones, corregirás los errores que encuentres y optimizarás funcionamientos según las necesidades de los proyectos asignados.
• Revisarás, harás pruebas y análisis de los desarrollos entregados para garantizar la calidad según los estándares de TCIT.

¿Cómo nos gustaría que fueras?
• Debes tener título de Ingeniero en Computación, T.I., Informática o similar.
• De 0 a 2 años de experiencia.
• No es necesario ser experta/o pero sí tener conocimientos y experiencia de frameworks web. Necesitas estar familiarizada/o con el ambiente de desarrollo back-end, utilizando Node.js con express o Ruby on rails y tener conocimiento en tecnologías de desarrollo front-end, como React, Angular, Vue y aplicando librerías similares a redux y saga.
• Adicionalmente es bueno tener conocimientos de GIT, Docker o similares, como también experiencia en servicios cloud como GCP, AWS, Azure, Heroku o similares.
• Debes saber trabajar en equipo y estar dispuesto a trabajar con personas increíbles :)
• Que cuentes con disponibilidad para trabajar de manera híbrida (teletrabajo y oficina).

Te amaríamos más si

¡Que te guste estar constantemente aprendiendo!

Beneficios TCIT
• Nuestro horario promedio hace que puedas salir a las 14:00 los días viernes (sí, a las 14:00!!!)
• Nuestras oficinas quedan a pasos del metro
• Porque sabemos que guatita llena <3 contento, cuando vayas a trabajar a la oficina contamos con almuerzo en una cafetería cercana (¡y esto va por cuenta de TCIT, aparte del bono de almuerzo :O!)
• Tendrás permisos flexibles
• Más días de vacaciones
• Vestimenta casual
• Estamos afiliados a Caja de Compensación Los Andes, por lo que puedes acceder a sus cientos de beneficios y convenios
• Estamos afiliados a la ACHS, por lo que también tendrás acceso a capacitaciones, beneficios y convenios
• Somos Google Partners, lo que significa que puedes certificarte de manera gratuita!
• Tendrás 1 hora 30 minutos para almorzar!
• Tenemos estacionamiento para bicicletas
• ¡Nos encantan los asados y usamos cualquier excusa para juntarnos y compartir!
• El día de tu cumpleaños puedes salir a las 16:00 para celebrar como se debe

¡Te esperamos!

Outdoors

The premises have outdoor spaces such as parks or terraces.

Internal talks

TCIT offers space for internal talks or presentations during working hours.

Meals provided

TCIT provides free lunch and/or other kinds of meals.

Partially remote

You can work from your home some days a week.

Bicycle parking

You can park your bicycle for free inside the premises.

Computer repairs

TCIT covers some computer repair expenses.

Commuting stipend

TCIT offers a stipend to cover some commuting costs.

Computer provided

TCIT provides a computer for your work.

Informal dress code

No dress code is enforced.

Recreational areas

Space for games or sports.

Vacation over legal

TCIT gives you paid vacations over the legal minimum.

Beverages and snacks

TCIT offers beverages and snacks for free consumption.

Remote work policy

Hybrid

This job takes place some days from home and others at the office in Santiago (Chile).",No disponible
Trabajo Desde Casa Ingeniero Ruby on Rails / Ref. 0026,BairesDev LLC,"Concepción, Chile",Computrabajo,"En BairesDev® llevamos 15 años liderando proyectos de tecnología para clientes como Google, Rolls-Royce y las startups más innovadoras de Silicon Valley. Actualmente, contamos con un equipo de 4000 profesionales conformado por el top 1% de la industria trabajando de forma remota desde más de 50 países. Al postularte a esta vacante, estarás dando el primer paso en un proceso que va más allá de lo convencional: Buscaremos conocer en profundidad tus habilidades, intereses y expectativas con el objetivo de realizar una búsqueda personalizada y encontrar el rol ideal para ti en BairesDev.

Ingeniero Ruby on Rails en BairesDev

Ser un Ingeniero Ruby on Rails en nuestro Equipo de Desarrollo es como ser un solucionador de problemas a tiempo completo. Esperamos que tus habilidades sean una combinación de experiencia, conocimiento e independencia. La innovación también está en el corazón de la estrategia de BairesDev. Por lo tanto, si estás dispuesto a asumir las tareas más complejas y ser un maestro de tu pila tecnológica, Ruby on Rails, entonces probablemente seas uno de esos únicos que estamos buscando.
Te enfrentarás a numerosos retos técnicos, por lo que deberás utilizar tecnologías actuales, e involucrarte en el mundo móvil, aplicaciones web, dispositivos, etc.

Principales responsabilidades:

- Diseñar y desarrollar aplicaciones web modernas para múltiples dispositivos móviles y de escritorio con especial atención al diseño receptivo, y a las diferentes resoluciones y tamaños de pantalla.
- Ejecutar todas las fases del proceso de ingeniería de sistemas.
- Responsable de planificar, procesar y realizar todos los trabajos de manera eficiente sin ayuda del supervisor.
- Mantener la coherencia en todo el producto.
- Documentar el código de forma coherente durante todo el proceso de desarrollo.
- Proporcionar documentación técnica para el diseño, la implementación y las pruebas.

¿Qué Buscamos?:

- 5+ años de experiencia trabajando con RoR.
- 5+ años de experiencia en desarrollo Front End con fuertes habilidades en Javascript, CSS3, y HTML5.
- 1+ de experiencia desarrollando aplicaciones Web usando ReactJS, Flux, Redux, Relay, etc.
- Experiencia con otros Frameworks Javascript como Angular, Backbone, y Marionette.
- Experiencia usando ES2015 (ES6 / ES7).
- Experiencia con líneas de comandos, APIs y rendimiento del lado del cliente.
- Familiarizado con los conceptos de programación básica, estructuras de datos, tipos de variables e idiosincrasia.
- Nivel avanzado de inglés.

Qué ofrecemos para que tu trabajo (y tu vida) sea más fácil:

- Trabajo 100% remoto: trabaja desde tu casa o donde quieras.
- Compensación en USD o en tu moneda local, como prefieras, muy por encima de la media del mercado.
- Hardware y software.
- Horarios flexibles
- Licencias por mater/paternidad, vacaciones y días festivos nacionales pagos.
- Ambiente laboral multicultural e innovador, perfecto para hacer amigos, colaborar y aprender de las personas más talentosas del mundo.
- Oportunidades de crecimiento y desarrollo profesional a través de mentorías y entrenamientos.

¡Únete a nuestro equipo global!.

-Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T.
5 años de experiencia
Palabras clave: remoto, remote, teletrabajo, home, engineers, ingeniera, ing, engineer",No disponible
Ingeniero QA - Laravel/Next.js,Ideas Digitales,"Santiago, Chile",LinkedIn,"Company Description: Ideas Digitales

Job Description: ¡Hola! Estamos en búsqueda de un Especialista QA para un proyecto en desarrollo. Queremos sumar al equipo a alguien con experiencia en pruebas de software y conocimientos sólidos en desarrollo, especialmente en los frameworks Laravel y Next.js que son la base tecnológica de nuestro proyecto.

Requisitos
• Experiencia QA con enfoque en pruebas automatizadas y manuales.
• Conocimiento en Laravel y Next.js suficiente para entender la arquitectura del código y generar casos de prueba efectivos.
• Capacidad para navegar en los repositorios analizar el código y a partir de ello construir pruebas de software.
• Familiaridad con herramientas de testing como Selenium, Cypress, Jest, PHPUnit, Postman entre otras.
• Conocimientos en OpenAPI y pruebas de integración.
• Buenas prácticas de desarrollo y control de versiones con Git

Responsabilidades
• Diseñar y ejecutar pruebas manuales y automatizadas para asegurar la calidad del software.
• Detectar, documentar y hacer seguimiento de bugs.
• Trabajar en conjunto con el equipo de desarrollo para mejorar la estabilidad y el rendimiento del proyecto.
• Implementar pruebas unitarias, de integración y end-to-end.
• Oferta de trabajo 100% Remoto",No disponible
Front-End Developer (React + Next.js),Launchpad Technologies Inc.,"Santiago, Chile",Indeed Chile,"Launchpad, a people-first technology company, is a leader in North America´s rapidly growing tech sector. Through two solutions, Launchpad supports its clients with digital transformation:
• PaasportTM, our iPaaS solution, streamlines software integration and automates workflows.
• Nearshore Staff Augmentation, our managed IT staffing service, connects top IT talent across various geographical regions, bringing industry expertise to leading clients.

Based in Vancouver, Canada, our operational footprint spans across North and South America, with a second headquarters in Santiago, Chile.

In 2023, our unwavering dedication to innovation garnered recognition as a Deloitte Technology Fast 50™ Program Company. Our clientele boasts industry leaders such as Walmart, GM, TIME Magazine, Salesforce, Tableau, Splunk, Bolt.com, Freedom House, and more.

At Launchpad, we genuinely care about our people as individuals. If you are looking for a team that values growth, drive, and passion for your craft, if you’re seeking a place to achieve your goals and dreams with fairness and integrity, then we’d love to hear from you.

We are seeking a talented and experienced Web Front-End Developer to join our team. In this role, you will be responsible for designing and implementing user-facing features for high-performance web applications. You will work closely with cross-functional teams to ensure seamless collaboration and deliver exceptional user experiences.

Responsibilities:
• Develop and maintain responsive web interfaces using JavaScript, TypeScript, HTML, and CSS.
• Build reusable and modular components using React to ensure scalability.
• Optimize web applications for maximum speed and performance.
• Collaborate with designers, backend developers, and product managers to translate UI/UX designs into functional interfaces.
• Troubleshoot and debug issues to ensure smooth user experiences.
• Implement and advocate for security best practices in web development.
• Write clean, maintainable, and well-documented code.
• Utilize tools like JIRA and Confluence to manage tasks and collaborate with the team effectively.
• Stay updated with emerging trends and technologies in front-end development.

Requirements:
• 5+ years of experience in web front-end development.
• Proficiency in JavaScript and TypeScript.
• Strong understanding of HTML5, CSS3, and modern web standards.
• Hands-on experience with React for building interactive UIs.
• Familiarity with performance optimization techniques and testing/debugging tools.
• Solid problem-solving skills and attention to detail.
• Excellent collaboration and communication abilities.
• Knowledge of security best practices in web development.
• Experience using task management tools like JIRA and Confluence.

Nice to Have:
• Experience with CI/CD pipelines.
• Exposure to backend technologies for better collaboration.

Why work for Launchpad?
• 100% remote
• People first culture
• Excellent compensation in US Dollars
• Hardware setup for working from home
• Work with global teams and prominent brands based in North America, Europe, and Asia
• Training allowances
• Personal time off (PTO) for vacations, study leave, personal time, etc.
• ...and more!

At Launchpad, we genuinely care about our people as individuals. If you are looking for a team that values growth, drive, and passion for your craft, if you’re seeking a place to achieve your goals and dreams with fairness and integrity, then you are the future of Launchpad. Launchpad is committed to fostering a diverse and representative workforce and an inclusive work environment where all employees are respected and treated equally.

Are you ready to elevate your career at Launchpad? We want to hear your story! Contact us today.",No disponible
Next Developer 💻,GoGrow,Anywhere,GoGrow,"Job Responsibilities:
• Transform Designs to ReactJS Components: Collaborate on turning design concepts into functional ReactJS components.
• Build Reusable Libraries: Develop and maintain efficient, reusable libraries for streamlined development.
• Manage React Component States: Craft code for effective state management, ensuring optimal performance.
• Develop Next-Gen JavaScript Applications: Contribute to cutting-edge JavaScript applications, leveraging NextJS expertise.
• Configure Front-End and Back-End Validations: Implement validations for application integrity and security.
• Execute Testing: Perform unit and integration testing to maintain high software quality.

Minimum Requirements:
• Education: Bachelor’s/Master’s degree in Engineering, Computer Science, or equivalent experience.
• Experience: 3+ years as a NextJS Developer, with exceptions for highly skilled individuals.
• Skills: Proficient in NextJS, React.js, Node.js, RESTful web services, HTML5/CSS3.
• Design Experience: Mobile-first responsive design implementation.
• Understanding: Strong grasp of data structures, algorithms, and object-oriented designs.
• Communication: Fluent in English for effective collaboration.
• Availability: Full-time (40 hours/week) with a 4-hour overlap with US time zones.

What We Offer:
• Remote Work and Flexible Schedule: Achieve work-life balance with remote options and flexible schedules.
• Competitive USD Salary: Your skills are valued with a competitive salary tailored to your expertise.
• English Classes: Enhance your communication with complimentary English classes.
• Career Growth: We foster talent, offering clear career paths and growth opportunities.
• Additional Paid Leave Days: Recharge with extra leave days for a well-deserved break.
• And Many More!: Enjoy perks beyond the workplace for a fulfilling experience at GoGrow.",No disponible
React/Next.js Engineer,Oowlish,"Futaleufú, Futaleufu, Chile",Jooble,"Join Our Team

Oowlish, one of Latin America's rapidly expanding software development companies, is seeking experienced technology professionals to enhance our diverse and vibrant team.

As a valued member of Oowlish, you will collaborate with premier clients from the United States and Europe, contributing to pioneering digital solutions. Our commitment to creating a nurturing work environment is recognized by our certification as a Great Place to Work, where you will have opportunities for professional development, growth, and a chance to make a significant international impact.

We offer the convenience of remote work, allowing you to craft a work-life balance that suits your personal and professional needs. We're looking for candidates who are passionate about technology, proficient in English, and excited to engage in remote collaboration for a worldwide presence.

About the Team:

Our mission on the Technology team is to build simple, impactful technical solutions that empower therapists to better serve their clients.

We believe technology should enable human-to-human therapy, not replace it. By removing barriers to accessing evidence-based healthcare, we aim to make a real difference in people's lives.

If you’re passionate about using your skills to create solutions that positively impact human lives, we’d love for you to join us!

Must Have:
• Advanced English proficiency (written and verbal) with the ability to effectively communicate in a professional environment.
• Highly effective, positive, and empathetic teammate with a problem-solving mindset.
• 4+ years of professional experience in software development with a strong focus on React and Next.js .
• Excellent written communication and documentation skills.
• Eager to learn new technologies and deliver high-quality, simple, and effective software.

Nice to Have:
• Familiarity with Nest.js , TypeScript , or Postgres .

Benefits & Perks:
• Home office;
• Flexible Hours;
• Competitive compensation based on experience;
• Career plans to allow for extensive growth in the company;
• International Projects;
• Oowlish English Program (Technical and Conversational);
• Oowlish Fitness with Total Pass;
• Connecting You (Internet allowance);
• Anniversary bonus;
• Wedding gift;
• Pet adoption incentive;
• New baby Oowl bonus;
• Back to School bonus;
• Streaming Subscription;
• PTO Bonus;
• Games and Competitions;
• Enjoy your national Holidays.

You can also apply here:

Website:

LinkedIn:

Instagram:
#J-18808-Ljbffr",No disponible
Desarrollador SENIOR Node.js Next.js 13 y React (100% Remoto),Consistor Chile,Anywhere,Chiletrabajos,"Se busca a los mejores desarrolladores con más de 5 años de experiencia comprobable en proyectos usando las herramientas (node.js, React y Next.js ) para integrarse a proyecto internacional de equipos de desarrollo de alto nivel. Si tú crees que eres excelente programando y dando soluciones de alto nivel y eficiencia este trabajo es para ti.
Se ofrece integrarse a solida empresa internacional, trabajo 100% remoto, bonos por metas cumplidas.

Requisitos:
• Fullstack
• Node.js nivel experto (excluyente)
• React nivel experto (excluyente)
• Next.js 13 nivel experto (excluyente)
• microservicios deseable
• Trabajo en nube deseable

Se Ofrece:
- Trabajo 100% Remoto.
- Beneficios Adicionales ( días libres, horario de lunes a viernes).
- Integrarse a Solida empresa Internacional.
- Contrato indefinido.
- Renta ofrecida entre 2.500,000 a 3,200,000 según experiencia.
Interesados enviar curriculum actualizado a consitor.reclutamiento@gmail.com con pretensiones de renta y disponibilidad",No disponible
"Developer Senior Fullstack(node.js,React y Next.js 13) Remoto",Consistor Chile,Anywhere,Chiletrabajos,"Buscamos profesionales para empresa Internacional para el cargo de :
Desarrollador Fullstack con sólidos conocimientos en Node.js, REACT y Next.js 13 al menos 5 años de experiencia.

Requisitos:
- Idioma inglés intermedio.
- Poseer formación Universitaria de carreras del área informatica o afín.
- Experiencia Excluyente en:
• Node.js
• React.js
• Hooks
• Redux
• Next.js 13
• CSS3 y Material-UI
• Bitbucket o Github
• Experiencia trabajando sistemas/empresas complejas o de gran tamaño.

Se Ofrece:
- Trabajo 100% Remoto.
- Beneficios Adicionales (seguro medico y dental, días libres, horario de lunes a viernes).
- Integrarse a Solida empresa Internacional.
- Contrato indefinido desde el primer día.
- Bonos por desempeño anual.
- Renta ofrecida entre 2,500,000 a 3,200,000 según experiencia.
Interesados enviar curriculum actualizado a consitor.reclutamiento@gmail.com con pretensiones de renta y disponibilidad.",No disponible
